url_name,zh_name,platinum,platinum,platinum
stropha_barrel,诡计之刃 枪管,,,
strun_prime_receiver,斯特朗 Prime 枪机,,,
theorem_demulcent,定理·缓和,,,
tipedo_prime_blueprint,提佩多 Prime 蓝图,,,
tranquil_cleave,秋风落叶,,,
unleashed,释放,,,
virtuos_null,正直·空无,,,
virulent_scourge,剧毒灾害,,,
vital_sense,弱点感应,,,
volnus_prime_head,创伤 Prime 锤头,,,
waveband_disruptor,波段干扰,,,
zephyr_prime_neuroptics_blueprint,Zephyr Prime 头部神经光元 蓝图,,,
arcane_bodyguard,赋能·卫士,,,
arcane_ice_storm,赋能·冰暴,,,
arcane_resistance,赋能·抗毒,,,
astilla_prime_stock,碎裂者 Prime 枪托,,,
atlas_prime_systems_blueprint,Atlas Prime 系统 蓝图,,,
augur_message,预言 启示,,,
augur_pact,预言 契约,,,
bane_of_infested,灭亡 Infested,,,
baza_prime_receiver,苍鹰 Prime 枪机,,,
broken_war_set,破碎的战争之剑 一套,,,
brutal_tide,残暴浪潮,,,
cernos_prime_blueprint,西诺斯 Prime 蓝图,,,
continuity,持久力,,,
corvas_prime_blueprint,黑鸦 Prime 蓝图,,,
crowd_dispersion,人群驱散,,,
defiled_snapdragon,积秽骁龙,,,
disruptor,冲击干扰,,,
enduring_affliction,长时苦难,,,
expel_corpus,驱逐 Corpus,,,
flailing_branch,多流抽击,,,
full_contact,全面接触,,,
gladiator_resolve,角斗士 决心,,,
gorgon_wraith_stock,蛇发女妖·亡魂 枪托,,,
khora_prime_systems_blueprint,Khora Prime 系统 蓝图,,,
knell_prime_receiver,丧钟 Prime 枪机,,,
lingering_torment,恒久折磨,,,
magus_elevate,魔导·振奋,,,
mantis_engines_blueprint,Mantis 引擎 蓝图,,,
modified_munitions,弹药改良,,,
necramech_redirection,殁世机甲 蓄能重划,,,
parry,招架,,,
perpetual_agony,永恒苦痛,,,
polar_magazine,极地弹仓,,,
precision_intensify,集中 聚精会神,,,
protective_shots,防护射击,,,
pummel,强力猛击,,,
quickdraw,持续火力,,,
quicklock,快速锁定,,,
rebound,弹跳,,,
residual_viremia,残差·毒血,,,
revenant_prime_neuroptics_blueprint,Revenant Prime 头部神经光元 蓝图,,,
saxum_thorax,重岩者 胸腔,,,
section_density,截面密度,,,
shotgun_ammo_mutation,霰弹枪弹药转换,,,
soft_hands,精湛快手,,,
sporothrix_blueprint,孢丝感染枪 蓝图,,,
spry_sights,迅敏视觉,,,
stabilizer,稳定,,,
streamlined_form,流线外形,,,
stropha_receiver,诡计之刃 枪机,,,
sure_shot,准确射手,,,
tactical_reload,机动装填,,,
tek_collateral,技法 连带,,,
terminal_velocity,极限速度,,,
thumper,重击者,,,
toxin_resistance,毒素抵抗,,,
trick_mag,戏法增幅,,,
twitch,迅速抽换,,,
valkyr_prime_blueprint,Valkyr Prime 蓝图,,,
velox_prime_receiver,逐电 Prime 枪机,,,
zhuge_prime_blueprint,诸葛连弩 Prime 蓝图,,,
accelerated_isotope,迅发核素,,,
akbolto_prime_link,螺钉双枪 Prime 连接器,,,
arcane_deflection,赋能·偏折,,,
arcane_nullifier,赋能·消磁,,,
arcane_trickery,赋能·诡计,,,
augur_accord,预言 协约,,,
baza_prime_barrel,苍鹰 Prime 枪管,,,
blunderbuss,雷筒,,,
cleanse_the_murmur,净化低语者,,,
conic_nozzle,锥型推进器,,,
continuous_misery,无尽苦难,,,
corvas_prime_stock,黑鸦 Prime 枪托,,,
dig,挖掘,,,
eject_magazine,弹匣置换,,,
embedded_catalyzer,内置触媒,,,
enhanced_durability,耐久强化,,,
fortitude,不屈不挠,,,
ghost,幽灵,,,
handspring,翻筋斗,,,
healing_return,治愈归复,,,
hush,消音器,,,
hystrix_prime_blueprint,豪猪 Prime 蓝图,,,
lock_and_load,填弹上膛,,,
magazine_warp,弹匣增幅,,,
mandonel_blueprint,辐光弩炮 蓝图,,,
master_key,万能钥匙,,,
okina_prime_blade,翁 Prime 刀刃,,,
overview,纵观全局,,,
parallax_scope,视差瞄具,,,
pathocyst_subcortex,病囊飞刃 下皮层,,,
poisonous_sting,剧毒螫刺,,,
pounce,猛扑,,,
pressurized_magazine,增压弹匣,,,
raider_matrix,劫袭矩阵,,,
regen,重生,,,
revenant_prime_chassis_blueprint,Revenant Prime 机体 蓝图,,,
rupture,破裂,,,
sanctuary,守护光罩,,,
sense_danger,危机感知,,,
shell_compression,压缩弹药,,,
